start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1740772800000,2025-02-28 20:00:00,0.17120464,0.64184729,14.5233296,15.06600789
1740776400000,2025-02-28 21:00:00,0.24946511,0.59534366,8.59128773,8.73127888
1740780000000,2025-02-28 22:00:00,0.33171943,0.43668786,19.43133594,19.90316601
1740783600000,2025-02-28 23:00:00,0.06630353,0.42943427,3.28159335,3.51408698
1740787200000,2025-03-01 00:00:00,0.02911616,0.22431418,1.77055654,2.64957021
1740790800000,2025-03-01 01:00:00,2.65704968,0.55260924,269.24064452,271.01906714
1740794400000,2025-03-01 02:00:00,0.50677629,0.57309069,57.42945174,58.78604969
1740798000000,2025-03-01 03:00:00,0.98895233,0.68991179,174.37949984,179.98932394
1740801600000,2025-03-01 04:00:00,0.18036834,0.68004082,11.87477635,12.26504687
1740805200000,2025-03-01 05:00:00,0.54764047,0.71088669,95.48520078,101.31348764
1740808800000,2025-03-01 06:00:00,0.06841377,0.71118815,3.26211478,3.69434346
1740812400000,2025-03-01 07:00:00,0.33355011,0.75467871,37.06835254,42.02731446
1740816000000,2025-03-01 08:00:00,0.12453735,0.39289124,8.83777163,10.21206245
1740819600000,2025-03-01 09:00:00,0.17448638,0.34542125,5.10175684,5.23459144
1740823200000,2025-03-01 10:00:00,0.08916311,0.21687993,6.49772933,7.22221158
1740826800000,2025-03-01 11:00:00,0.67258958,0.28719725,44.3303009,45.06350172
1740830400000,2025-03-01 12:00:00,0.45242273,0.27359472,33.41288965,34.83655005
1740834000000,2025-03-01 13:00:00,0.12501936,0.28168123,12.95091096,14.50224568
1740837600000,2025-03-01 14:00:00,0.09166173,0.24712575,8.97737204,12.64931895
1740841200000,2025-03-01 15:00:00,0.14784898,0.25045598,7.16253642,7.39244913
1740844800000,2025-03-01 16:00:00,0.14142497,0.24573292,14.81891755,18.10239607
1740848400000,2025-03-01 17:00:00,0.11660767,0.24965357,9.75354289,10.72790543
1740852000000,2025-03-01 18:00:00,0.60735291,0.24033405,41.47814625,41.9073508
1740855600000,2025-03-01 19:00:00,0.37493733,0.22926471,36.62601339,37.11879581
1740859200000,2025-03-01 20:00:00,0.2839314,0.25196643,15.64576909,15.90015846
1740862800000,2025-03-01 21:00:00,0.27123667,0.27761999,16.87122631,17.0879101
1740866400000,2025-03-01 22:00:00,0.47470501,0.32431371,41.59491814,42.24874587
1740870000000,2025-03-01 23:00:00,0.23801977,0.33811297,12.19469526,12.37702813
1740873600000,2025-03-02 00:00:00,0.04340449,0.32765537,3.11680765,4.94811177
1740877200000,2025-03-02 01:00:00,1.25771039,0.42056358,134.15408527,135.83272259
1740880800000,2025-03-02 02:00:00,0.04806683,0.37386779,4.87192994,6.6332225
1740884400000,2025-03-02 03:00:00,0.68573013,0.43126761,86.47112774,89.8306475
