start_time,datetime,reserve,reserve_usd
1708448400000,2024-02-20 17:00:00,134396.66913437,6866119838.3215065
1708452000000,2024-02-20 18:00:00,134673.6177274,6939052798.125383
1708455600000,2024-02-20 19:00:00,134489.98835737,7004865078.1447
1708459200000,2024-02-20 20:00:00,134497.68567069,7019683310.501282
1708462800000,2024-02-20 21:00:00,134568.06559073,7005425506.217358
1708466400000,2024-02-20 22:00:00,134585.93831011,7037568607.033678
1708470000000,2024-02-20 23:00:00,134604.62449753,7035007475.797462
1708473600000,2024-02-21 00:00:00,134611.24381633,7030378328.411799
1708477200000,2024-02-21 01:00:00,134458.17690745,7004187887.088457
1708480800000,2024-02-21 02:00:00,134490.6568625,7005272502.462943
1708484400000,2024-02-21 03:00:00,134465.14289847,6992891417.850274
1708488000000,2024-02-21 04:00:00,134496.03485604,6989516773.302453
1708491600000,2024-02-21 05:00:00,134470.9684689,6972848209.18924
1708495200000,2024-02-21 06:00:00,134470.9684689,6972848209.18924
1708498800000,2024-02-21 07:00:00,134407.14673793,6937259261.021093
1708502400000,2024-02-21 08:00:00,134438.11327058,6942898679.338679
1708506000000,2024-02-21 09:00:00,134391.21658199,6871566229.680158
1708509600000,2024-02-21 10:00:00,134267.70643786,6872699180.667052
1708513200000,2024-02-21 11:00:00,134333.70632545,6845437859.078967
1708516800000,2024-02-21 12:00:00,134320.79778319,6896637629.058777
1708520400000,2024-02-21 13:00:00,134155.75469174,6860081166.579772
1708524000000,2024-02-21 14:00:00,134084.85537437,6840018185.702811
1708527600000,2024-02-21 15:00:00,133870.04994052,6851814897.613004
1708531200000,2024-02-21 16:00:00,134162.73118354,6893984522.043124
1708534800000,2024-02-21 17:00:00,134153.25462294,6844205913.013671
1708538400000,2024-02-21 18:00:00,134114.49609077,6823707731.733611
1708542000000,2024-02-21 19:00:00,134200.77065809,6837857000.576562
1708545600000,2024-02-21 20:00:00,134236.79727016,6841029695.713788
1708549200000,2024-02-21 21:00:00,134270.73201292,6885217618.942388
1708552800000,2024-02-21 22:00:00,134281.30630958,6916754591.425092
1708556400000,2024-02-21 23:00:00,134403.53682381,6938141058.939477
1708560000000,2024-02-22 00:00:00,134310.64809882,6919755841.241595
1708563600000,2024-02-22 01:00:00,134337.55509058,6897141670.007575
1708567200000,2024-02-22 02:00:00,134424.18508033,6913240361.461818
1708570800000,2024-02-22 03:00:00,134460.16552335,6944258110.12574
1708574400000,2024-02-22 04:00:00,134446.27408703,6927911107.062231
1708578000000,2024-02-22 05:00:00,134419.07181316,6932360450.780109
1708581600000,2024-02-22 06:00:00,134409.9907086,6953648700.998977
1708585200000,2024-02-22 07:00:00,134421.54783001,6964948863.090383
1708588800000,2024-02-22 08:00:00,134373.79350075,6970538948.534388
1708592400000,2024-02-22 09:00:00,134436.01417872,6982451242.77764
1708596000000,2024-02-22 10:00:00,134439.1261341,6970940434.4816475
1708599600000,2024-02-22 11:00:00,134565.70895396,6944988058.724001
1708603200000,2024-02-22 12:00:00,134346.5616125,6942135982.348887
1708606800000,2024-02-22 13:00:00,134231.17806156,6857319474.696567
1708610400000,2024-02-22 14:00:00,134176.61959566,6874504091.040607
1708614000000,2024-02-22 15:00:00,134205.66936441,6909901445.141793
1708617600000,2024-02-22 16:00:00,134034.26015122,6898190201.24276
1708621200000,2024-02-22 17:00:00,133977.23380863,6928121319.465511
1708624800000,2024-02-22 18:00:00,133932.94776932,6905613959.7578535
1708628400000,2024-02-22 19:00:00,133951.366049,6899717069.033159
1708632000000,2024-02-22 20:00:00,133775.16195571,6952659653.396268
1708635600000,2024-02-22 21:00:00,133721.95282907,6902608205.976411
1708639200000,2024-02-22 22:00:00,133788.59391081,6888306905.297593
1708642800000,2024-02-22 23:00:00,133830.95194614,6859841296.842548
1708646400000,2024-02-23 00:00:00,133923.17189974,6889789091.860219
1708650000000,2024-02-23 01:00:00,133936.39877577,6874710065.2748
1708653600000,2024-02-23 02:00:00,133968.12981954,6844288458.144385
1708657200000,2024-02-23 03:00:00,133848.54715334,6833080443.726457
1708660800000,2024-02-23 04:00:00,133791.46375683,6851177800.529577
1708664400000,2024-02-23 05:00:00,133752.39180643,6842200608.750257
1708668000000,2024-02-23 06:00:00,133816.86433593,6864423203.523863
1708671600000,2024-02-23 07:00:00,133732.02661706,6812110623.970094
1708675200000,2024-02-23 08:00:00,133612.07236831,6807073683.774171
1708678800000,2024-02-23 09:00:00,133574.98883025,6817655358.314144
1708682400000,2024-02-23 10:00:00,133604.92142118,6833580296.284139
1708686000000,2024-02-23 11:00:00,133776.09661093,6854935487.682162
1708689600000,2024-02-23 12:00:00,133641.04525368,6814047120.918018
1708693200000,2024-02-23 13:00:00,133541.56990554,6814470537.17485
1708696800000,2024-02-23 14:00:00,133756.99224155,6833405644.61428
1708700400000,2024-02-23 15:00:00,133699.40544159,6800626922.434438
1708704000000,2024-02-23 16:00:00,133411.90690768,6784522457.304069
1708707600000,2024-02-23 17:00:00,133275.32594496,6809232261.513408
1708711200000,2024-02-23 18:00:00,133218.95767107,6813350421.003717
1708714800000,2024-02-23 19:00:00,133151.56722542,6809996758.602574
1708718400000,2024-02-23 20:00:00,133094.6877916,6799946048.301364
1708722000000,2024-02-23 21:00:00,133015.94130105,6790801917.564257
1708725600000,2024-02-23 22:00:00,133019.17768955,6749939977.044679
1708729200000,2024-02-23 23:00:00,132993.95505173,6747593683.788165
1708732800000,2024-02-24 00:00:00,132955.88157429,6767580102.970953
1708736400000,2024-02-24 01:00:00,132957.33437088,6731392237.032751
1708740000000,2024-02-24 02:00:00,132965.56650773,6749948059.007597
1708743600000,2024-02-24 03:00:00,132970.24286652,6747332874.098429
1708747200000,2024-02-24 04:00:00,133016.4761267,6780611123.23999
1708750800000,2024-02-24 05:00:00,133071.96513012,6792742350.450226
1708754400000,2024-02-24 06:00:00,133284.88166322,6793133107.199399
1708758000000,2024-02-24 07:00:00,134002.0432268,6843228536.357495
1708761600000,2024-02-24 08:00:00,134054.39862908,6831748239.509081
1708765200000,2024-02-24 09:00:00,134052.64289612,6849401010.807703
1708768800000,2024-02-24 10:00:00,134077.84915515,6850871718.8487835
1708772400000,2024-02-24 11:00:00,134065.19683404,6853122880.648969
1708776000000,2024-02-24 12:00:00,134069.8454472,6846518817.901614
1708779600000,2024-02-24 13:00:00,134099.8259556,6856623280.315241
1708783200000,2024-02-24 14:00:00,134083.69682562,6850225039.393953
1708786800000,2024-02-24 15:00:00,134129.11541361,6855858926.459397
1708790400000,2024-02-24 16:00:00,134088.7356917,6859236914.184888
1708794000000,2024-02-24 17:00:00,134082.10103543,6914385602.6244755
1708797600000,2024-02-24 18:00:00,134132.09495226,6896298142.834137
1708801200000,2024-02-24 19:00:00,134178.47158554,6923503969.281853
1708804800000,2024-02-24 20:00:00,134193.80220269,6913113275.745548
1708808400000,2024-02-24 21:00:00,134151.71632508,6926271168.507615
1708812000000,2024-02-24 22:00:00,134144.52053612,6930972609.132816
1708815600000,2024-02-24 23:00:00,134136.0758032,6917052257.646852
1708819200000,2024-02-25 00:00:00,134103.87847436,6905881479.883004
1708822800000,2024-02-25 01:00:00,134150.3817842,6924104195.880944
1708826400000,2024-02-25 02:00:00,134164.27252235,6935534413.9580345
1708830000000,2024-02-25 03:00:00,134175.30928827,6922963917.517696
1708833600000,2024-02-25 04:00:00,134169.59241808,6917263282.569805
1708837200000,2024-02-25 05:00:00,134232.68503314,6936900915.088196
1708840800000,2024-02-25 06:00:00,134257.07944514,6941359040.38655
1708844400000,2024-02-25 07:00:00,134299.85871274,6950812884.737316
1708848000000,2024-02-25 08:00:00,134333.62264784,6934628637.621113
1708851600000,2024-02-25 09:00:00,134341.60898682,6938266807.754876
1708855200000,2024-02-25 10:00:00,134345.53386999,6933166273.14222
1708858800000,2024-02-25 11:00:00,134277.20491026,6937759405.559676
1708862400000,2024-02-25 12:00:00,134324.71707086,6938255522.698256
1708866000000,2024-02-25 13:00:00,134360.81808833,6936654329.593033
1708869600000,2024-02-25 14:00:00,134472.54391405,6955476822.381919
1708873200000,2024-02-25 15:00:00,134666.46811929,6936513987.896338
1708876800000,2024-02-25 16:00:00,134733.55717265,6910234779.983265
1708880400000,2024-02-25 17:00:00,134644.64709072,6941047060.491508
1708884000000,2024-02-25 18:00:00,134771.72765094,6948199371.722391
1708887600000,2024-02-25 19:00:00,134795.06882425,6970625794.903834
1708891200000,2024-02-25 20:00:00,134822.95554223,6973001877.537432
1708894800000,2024-02-25 21:00:00,134856.12812767,6974789288.976564
1708898400000,2024-02-25 22:00:00,134847.61924453,6970056735.703482
1708902000000,2024-02-25 23:00:00,134829.28791755,6978353709.68616
1708905600000,2024-02-26 00:00:00,134931.98750111,6973388913.492336
1708909200000,2024-02-26 01:00:00,135102.26232719,6960046897.396426
1708912800000,2024-02-26 02:00:00,135390.09877138,6963869718.340328
1708916400000,2024-02-26 03:00:00,135592.83304706,6982792182.130866
1708920000000,2024-02-26 04:00:00,135905.85990491,7000625066.623129
1708923600000,2024-02-26 05:00:00,136078.80965202,7013218405.363193
1708927200000,2024-02-26 06:00:00,136257.71057439,7019697443.301079
1708930800000,2024-02-26 07:00:00,136131.41140211,6989189972.683446
1708934400000,2024-02-26 08:00:00,136166.88164847,6990164463.460781
1708938000000,2024-02-26 09:00:00,135934.23137016,6935132218.035676
1708941600000,2024-02-26 10:00:00,136381.569969,6979124422.418822
1708945200000,2024-02-26 11:00:00,136307.27402514,6962918573.596411
1708948800000,2024-02-26 12:00:00,136249.49800908,6967013256.997226
1708952400000,2024-02-26 13:00:00,136429.50755087,6993228592.047722
1708956000000,2024-02-26 14:00:00,136428.44740515,7018827400.9170475
1708959600000,2024-02-26 15:00:00,136468.38560603,7210734957.920986
1708963200000,2024-02-26 16:00:00,136493.45373496,7267629092.566325
1708966800000,2024-02-26 17:00:00,136574.1528393,7291531501.653027
1708970400000,2024-02-26 18:00:00,136514.07134221,7317813314.58604
1708974000000,2024-02-26 19:00:00,136544.18936734,7424099118.444397
1708977600000,2024-02-26 20:00:00,136697.80751019,7473913373.574178
1708981200000,2024-02-26 21:00:00,136686.87258185,7472894094.547312
1708984800000,2024-02-26 22:00:00,136700.76933095,7469712586.226705
1708988400000,2024-02-26 23:00:00,136661.65003511,7447507162.837717
1708992000000,2024-02-27 00:00:00,136581.43700452,7453699814.118672
1708995600000,2024-02-27 01:00:00,136412.26580976,7506084544.265895
1708999200000,2024-02-27 02:00:00,136788.64402593,7699966383.204606
1709002800000,2024-02-27 03:00:00,137032.35745825,7722241347.009415
1709006400000,2024-02-27 04:00:00,136871.92519561,7647107378.712352
1709010000000,2024-02-27 05:00:00,136906.79699059,7677770662.386072
1709013600000,2024-02-27 06:00:00,136667.52566536,7712548703.375737
1709017200000,2024-02-27 07:00:00,136666.778215,7660189243.038907
1709020800000,2024-02-27 08:00:00,136729.21474734,7712309514.433521
1709024400000,2024-02-27 09:00:00,136661.05801498,7731986872.798888
1709028000000,2024-02-27 10:00:00,136788.30547751,7714131552.711196
1709031600000,2024-02-27 11:00:00,136785.8784071,7723719516.365691
1709035200000,2024-02-27 12:00:00,136867.9612744,7837153318.904739
1709038800000,2024-02-27 13:00:00,136836.61459102,7808723070.154507
1709042400000,2024-02-27 14:00:00,136695.7112272,7771461998.100552
1709046000000,2024-02-27 15:00:00,136666.69788256,7779820163.565848
1709049600000,2024-02-27 16:00:00,136646.59559532,7787230331.87383
1709053200000,2024-02-27 17:00:00,136487.24254042,7745931083.608826
1709056800000,2024-02-27 18:00:00,136522.46083941,7780814181.961868
1709060400000,2024-02-27 19:00:00,136392.05742157,7846212104.76005
1709064000000,2024-02-27 20:00:00,136248.08397541,7739999260.951664
1709067600000,2024-02-27 21:00:00,136269.69500093,7723587110.797845
1709071200000,2024-02-27 22:00:00,136289.4797445,7759361038.525772
1709074800000,2024-02-27 23:00:00,136210.05192756,7770792151.671554
1709078400000,2024-02-28 00:00:00,136217.06536535,7767744416.679138
1709082000000,2024-02-28 01:00:00,136193.50644454,7738972396.144344
1709085600000,2024-02-28 02:00:00,136163.2387443,7753048115.829132
1709089200000,2024-02-28 03:00:00,136093.69155888,7751728858.748449
1709092800000,2024-02-28 04:00:00,136169.24553265,7769404344.43562
1709096400000,2024-02-28 05:00:00,136174.12697545,7780030103.832954
1709100000000,2024-02-28 06:00:00,136133.7157744,7777478726.5705
1709103600000,2024-02-28 07:00:00,136151.57853577,7935491002.649721
1709107200000,2024-02-28 08:00:00,136153.15855501,8029285228.077587
1709110800000,2024-02-28 09:00:00,135583.95471492,8040478333.998402
1709114400000,2024-02-28 10:00:00,135265.41136126,8016977715.285615
1709118000000,2024-02-28 11:00:00,135484.30230069,7986900783.669226
1709121600000,2024-02-28 12:00:00,135336.82779922,8035045822.488768
1709125200000,2024-02-28 13:00:00,135266.19854746,8147678392.871682
1709128800000,2024-02-28 14:00:00,135300.06554841,8206976112.653324
1709132400000,2024-02-28 15:00:00,135136.01604175,8235550291.270301
1709136000000,2024-02-28 16:00:00,134983.49563318,8338986338.20119
1709139600000,2024-02-28 17:00:00,135220.0706133,8255921720.370078
